E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,route,E_vac,gs_chi,svd_dense_limit,time_gs_s,time_s,tag,axis,section,threads,dev_vs_gaussian,rel_dev_vs_gaussian,shift_vs_base,rel_shift_vs_base
-0.023004978797760756,0.9095613281623777,0.9325663069601384,0.9324108607458829,0.00015544621425556127,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0155086999923393,1.0155086999923393,0.3669773693408172,6,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,0.25,2,0.0001750562405771797,1.1591683596617073e-09,8.59444133712759e-10,0.9133836360680118,0.0046622257346409235,9,1.2212453270876722e-13,12,1.972449619556512e-07,True,1.6322808646940246e-06,58.24707102775574,464.564120054245,mpo,11.283713962118508,16,600.0,4.421761751174927,533.8245787620544,lam0_chiop32_wd0.25,mpo,S5g,2,-0.00035132866366116566,-0.015508699992339219,-6.27438269350522e-05,-0.002734861142118013
-0.022917958680430117,0.9094859270380699,0.9324038857185,0.9324108607458829,6.975027382893906e-06,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0116673712521354,1.0116673712521354,0.36558921706219677,6,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.003514204012436228,1.2190891047197173e-09,8.855894298649746e-10,0.928214958424166,0.01403312040716731,9,1.7541523789077473e-14,12,4.842121203709205e-07,True,2.801186129608446e-06,65.8358359336853,515.4853591918945,mpo,11.283713962118508,16,600.0,4.671310186386108,592.9305081367493,lam0_chiop32_wd0.5,mpo,S5g,2,-0.00026430854633052725,-0.01166737125213542,2.427629039558621e-05,0.0010581484509445984
-0.02346874344632266,0.908795870906794,0.9322646143531167,0.9324108607458829,0.00014624639276616946,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0359806612796647,1.0359806612796647,0.3743753822761337,6,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,1.0,2,0.06956021814768235,1.2410266759397534e-07,2.11317570092489e-11,0.9661393478233051,0.31095697170466946,9,1.3211653993039363e-14,12,2.8522521246599125e-06,True,5.020044574477467e-06,153.2638840675354,580.5701928138733,mpo,11.283713962118508,16,600.0,4.7801032066345215,745.5915729999542,lam0_chiop32_wd1,mpo,S5g,2,-0.0008150933122230697,-0.03598066127966477,-0.0005265084754969562,-0.02294931056919634
-0.022945783826454846,0.9096468572547631,0.932592641081218,0.9324108607458829,0.00018178033533511329,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.012895656577459,1.012895656577459,0.3660330861472086,6,16,0.5,0.0,0.75,0.375,4,8,64,49,128,213,0.25,2,0.00018426005176136448,8.157830499141249e-19,1.0724131610372384e-10,0.9130936217798595,0.0027408829804793644,9,3.552713678800501e-14,12,1.1700569291138971e-07,True,1.581366380398741e-06,208.7215759754181,1447.6321082115173,mpo,11.283713962118508,16,600.0,8.79617691040039,1692.9436349868774,lam0_chiop64_wd0.25,mpo,S5g,2,-0.00029213369235525644,-0.012895656577459004,-3.5488556291429774e-06,-0.0001546865697110961
-0.022993855507088545,0.9092339456257048,0.9322278011327934,0.9324108607458829,0.00018305961308950902,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.015017684610431,1.015017684610431,0.3667999296663369,6,16,0.5,0.0,0.75,0.375,4,8,64,49,128,212,0.5,2,0.003522458156347248,6.851351162246307e-19,1.1376772452455906e-10,0.9291555490614666,0.01675876050367886,9,2.585154312839677e-11,12,3.0182075618263505e-07,True,3.1709584681349767e-06,217.65721821784973,1394.2798299789429,mpo,11.283713962118508,16,600.0,8.866861820220947,1647.9538261890411,lam0_chiop64_wd0.5,mpo,S5g,2,-0.00034020537298895537,-0.01501768461043099,-5.162053626284191e-05,-0.0022500221241951676
-0.023254975338260153,0.9085805302378426,0.9318355055761027,0.9324108607458829,0.000575355169780134,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0265442964202671,1.0265442964202671,0.37096533531910814,6,16,0.5,0.0,0.75,0.375,4,8,64,64,128,256,1.0,2,0.051699461015730225,1.669229401478868e-08,4.930255961779919e-11,0.974717473956627,0.19231798521202148,9,2.51909604287448e-13,12,4.539999610935633e-06,True,2.391240887966717e-06,1271.0426280498505,1467.0424311161041,mpo,11.283713962118508,16,600.0,9.19827389717102,2785.3465728759766,lam0_chiop64_wd1,mpo,S5g,2,-0.0006013252041605632,-0.026544296420267108,-0.0003127403674344498,-0.013631643465954532
-0.022827151547467173,0.9098548828826819,0.9326820344301491,0.9324108607458829,0.0002711736842662127,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0076588722938922,1.0076588722938922,0.364140653989608,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.0001766725328139522,6.877094269559748e-07,7.38970495910972e-12,0.9117468800164423,0.010934664989211806,9,1.8118839761882555e-13,12,5.208018256160122e-07,True,1.8740556555485455e-06,505.10383105278015,221.15874481201172,mpo,11.283713962118508,16,inf,4.0707080364227295,731.5813701152802,lam0_exactsvd_chiop16_wd0.25,svd,S5g,2,-0.00017350141336758274,-0.007658872293892203,0.00011508342335853072,0.005016225468219447
-0.022865136075353676,0.9093147235369837,0.9321798596123374,0.9324108607458829,0.00023100113354546092,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0093356231778183,1.0093356231778183,0.36474658639415336,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.5,2,0.003357409087135674,8.672485779228922e-07,5.670009812452354e-12,0.9284113118188918,0.020597076410182824,9,1.021405182655144e-14,12,1.420190302351976e-07,True,1.998292422755732e-06,541.728253364563,221.00038719177246,mpo,11.283713962118508,16,inf,3.6787781715393066,767.7991161346436,lam0_exactsvd_chiop16_wd0.5,svd,S5g,2,-0.00021148594125408593,-0.009335623177818263,7.709889547202753e-05,0.0033605660289884433
-0.023163976780262052,0.9091122991137918,0.9322762758940538,0.9324108607458829,0.0001345848518290449,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.022527347387355,1.022527347387355,0.3695137186181529,6,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.002634117738533487,1.5691271083152478e-07,1.6815338582541207e-11,0.9447111690863323,0.018627088255981472,9,5.176414852314792e-12,12,4.6743923846240206e-07,True,2.6003474540292615e-06,3815.347918987274,856.1073069572449,mpo,11.283713962118508,16,inf,5.192876100540161,4685.650413990021,lam0_exactsvd_chiop32_wd0.5,svd,S5g,2,-0.0005103266461624623,-0.022527347387354985,-0.0002217418094363488,-0.009665222665460662
-0.02347321071464059,0.9087972354068724,0.932270446121513,0.9324108607458829,0.00014041462436986674,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0361778598896674,1.0361778598896674,0.37444664451853205,6,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,1.0,2,0.06943171021446093,1.2405661675440399e-07,1.7355053009159926e-11,0.9661730731262873,0.2935117805424037,9,3.4861002973229915e-14,12,1.5302178004479987e-06,True,5.024174902334977e-06,3812.093543767929,851.2762310504913,mpo,11.283713962118508,16,inf,4.812021970748901,4677.642426729202,lam0_exactsvd_chiop32_wd1,svd,S5g,2,-0.0008195605805410011,-0.036177859889667444,-0.0005309757438148877,-0.023144028665476508
