E_free_exact,E_hartree_exact,E_min,E_min_analytic,E_min_trapezoid,E_ref,E_ref_static,E_star,E_star_even,E_star_odd,E_vac,L,axis,bound_2d_flanagan,chi_acc,chi_mpo,chi_op,chi_op_allowed,dim,dim_sectors,dmrg_chi,dmrg_delta_E,dmrg_real,dmrg_sweeps,dmrg_trunc,dt,gs_chi,h_ref_drift,h_vac,kernel,lam,m,mpo_variance,mu_H2,n_max,n_steps,norm_ratio,omega,order,ratio_exact_over_bound2d,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ref_consistency,route,section,sector_star,svd_dense_limit,tag,tau0,threads,time_dmrg_s,time_gs_s,time_operator_s,time_s,trunc_acc,trunc_op_weighted,trunc_real,weight_decay,window_pad
-0.01989537780959383,-0.006996472225372141,-0.005971674594383414,-0.005971674594383414,-0.0059720244591874305,1.0214727718730838,,1.0155010972787004,1.0155010972787004,1.0157749209193443,4.645378372782472,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.7684057303579299,analytic,4.0,0.5,,0.9082070167465974,4,,,1.2782188733130382,,,0.30015386747286543,0.8535265205123831,,ed,S5i,0,,ed_L6_nmax4_lam4,0.75,2,,,,1310.5833473205566,,,,,
-0.021312432451604524,-0.007387719356051425,-0.00391489209606366,-0.00391489209606366,-0.003914902516785279,1.0270216085425794,,1.0231067164465157,1.0231067164465157,1.023456391128148,5.437526029307286,7,,,,,,,2187,"[1094, 1093]",,,,,,,,,0.7725798581575796,analytic,4.0,0.5,,0.9085919748754208,2,,,1.2723842984339961,,,0.1836905339150494,0.5299188974817912,,ed,S5i,0,,ed_L7_nmax2_lam4,0.75,2,,,,6.129893064498901,,,,,
-0.021312432451604524,-0.007387719356051425,-0.003860182652280386,-0.003860182652280386,-0.003860204134071843,1.0223149665491165,,1.018454783896836,1.018454783896836,1.0186319608410737,5.415810507567451,7,,,,,,,16384,"[8192, 8192]",,,,,,,,,0.7690392736426459,analytic,4.0,0.5,,0.9085919748754208,3,,,1.2723842984339961,,,0.18112351375404684,0.5225134397015819,,ed,S5i,0,,ed_L7_nmax3_lam4,0.75,6,,,,1479.876130104065,,,,,
-0.021766979926427732,-0.007445216866477589,-0.0039407267888758035,-0.0039407267888758035,-0.0039407371042223804,1.027124835408399,,1.0231841086195232,1.0231841086195232,1.023228254179727,6.210466549693472,8,,,,,,,6561,"[3281, 3280]",,,,,,,,,0.7726575108541631,analytic,4.0,0.5,,0.9086404539426898,2,,,1.2705719800120974,,,0.1810415042507246,0.5292964408624679,,ed,S5i,0,,ed_L8_nmax2_lam4,0.75,2,,,,318.152428150177,,,,,
-0.01989537780959383,-0.014180006963225522,-0.013585726285705202,-0.013585726285705202,-0.013585734999378651,0.9586522836538193,,0.9450665573681141,0.9450665573681141,0.9453640113289157,4.38205220702452,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.7211488435756718,analytic,1.0,0.5,,0.4436369496910464,4,,,1.2782188733130382,,,0.6828584214748601,0.9580902407832711,,ed,S5i,0,,ed_L6_nmax4_lam1,0.75,2,,,,1170.4335470199585,,,,,
-0.01989537780959383,-0.019119799275143845,-0.017530518709804932,-0.017530518709804932,-0.01753059036268556,0.93299274170298,,0.915462222993175,0.915630149427639,0.915462222993175,4.281988687831543,6,,,,,,,4096,"[2048, 2048]",,,,,,,,,0.7018463818593115,analytic,0.1,0.5,,0.2712027309174214,3,,,1.2782188733130382,,,0.8811352504877525,0.9168777588891839,,ed,S5i,1,,ed_L6_nmax3_lam0.1,0.75,2,,,,30.89088010787964,,,,,
-0.01989537780959383,-0.019119799275143845,-0.01932837713246982,-0.01932837713246982,-0.01932852107430494,0.9329102556621005,,0.9135818785296307,0.9135818785296307,0.9138057400077183,4.281798805975137,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.7017843315059085,analytic,0.1,0.5,,0.2712027309174214,4,,,1.2782188733130382,,,0.9715008841475434,1.010908998275789,,ed,S5i,0,,ed_L6_nmax4_lam0.1,0.75,2,,,,1164.3537118434906,,,,,
-0.01989537780959383,-0.01807257424117914,-0.016397432674459145,-0.016397432674459145,-0.016397496574065418,0.9377414508813781,,0.9213440182069189,0.9215135115738357,0.9213440182069189,4.29995766181471,6,,,,,,,4096,"[2048, 2048]",,,,,,,,,0.705418611530978,analytic,0.25,0.5,,0.30204326581530516,3,,,1.2782188733130382,,,0.8241830253935702,0.907310295458457,,ed,S5i,1,,ed_L6_nmax3_lam0.25,0.75,2,,,,31.44517993927002,,,,,
-0.01989537780959383,-0.01807257424117914,-0.018096066712053882,-0.018096066712053882,-0.018096160552482643,0.9376643862360539,,0.919568319524,0.919568319524,0.9198114949772881,4.299718780306578,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.7053606394374423,analytic,0.25,0.5,,0.30204326581530516,4,,,1.2782188733130382,,,0.9095613506433493,1.0012998962162907,,ed,S5i,0,,ed_L6_nmax4_lam0.25,0.75,2,,,,1173.810930967331,,,,,
-0.01989537780959383,-0.01656752375608528,-0.014677590240518845,-0.014677590240518845,-0.014677642341475616,0.9452260462602217,,0.9305484560197028,0.9307194551305757,0.9305484560197028,4.3287711294816384,6,,,,,,,4096,"[2048, 2048]",,,,,,,,,0.7110489191973955,analytic,0.5,0.5,,0.3512968437081656,3,,,1.2782188733130382,,,0.7377387039838523,0.88592540784061,,ed,S5i,1,,ed_L6_nmax3_lam0.5,0.75,2,,,,32.84842920303345,,,,,
