k_over_h W_arrow_over_E_A
1.230116488144550546e+00 1.837179794036370439e-01
1.231028516399824468e+00 1.837885807933961335e-01
1.231941220847593721e+00 1.838591351530715623e-01
1.262101754282415111e+00 1.861357101991657215e-01
1.263037496931204817e+00 1.862046679830265394e-01
1.263973933354725299e+00 1.862735778881374205e-01
1.264911064067352209e+00 1.863424398922626790e-01
1.265848889583842896e+00 1.864112539732844798e-01
1.266787410419335735e+00 1.864800201092182141e-01
1.267726627089352354e+00 1.865487382782042292e-01
1.298763263152422853e+00 1.887649058568214855e-01
1.299726187236704744e+00 1.888319987845628878e-01
1.300689825248472875e+00 1.888990430652815466e-01
1.301654177717045391e+00 1.889660386815468496e-01
1.302619245172131235e+00 1.890329856160524458e-01
1.303585028143833702e+00 1.890998838516131375e-01
1.304551527162648217e+00 1.891667333711672394e-01
1.337480609952844235e+00 1.913867382941582818e-01
1.338472239704102895e+00 1.914518909146569192e-01
1.339464604665693503e+00 1.915169942901499001e-01
1.340457705382713360e+00 1.915820484079816255e-01
1.341451542400663222e+00 1.916470532556150685e-01
1.342446116265448186e+00 1.917120088206366313e-01
1.376331722455360618e+00 1.938680121894423292e-01
1.377352157049650305e+00 1.939312540639747395e-01
1.378373348210648830e+00 1.939944462894733213e-01
1.379395296499286605e+00 1.940575888577658614e-01
1.380418002476910377e+00 1.941206817607822599e-01
1.381441466705283228e+00 1.941837249905781770e-01
1.416311381369280031e+00 1.962752097977079335e-01
1.417361457529158875e+00 1.963365285255216086e-01
1.418412312232482764e+00 1.963977973694698564e-01
1.419463946056475523e+00 1.964590163256443589e-01
1.420516359578790633e+00 1.965201853902504292e-01
1.421569553377508344e+00 1.965813045596036812e-01
1.422623528031138340e+00 1.966423738301172619e-01
1.457452368690294264e+00 1.986079731829724360e-01
1.458532947443422323e+00 1.986673627484974725e-01
1.459614327355110541e+00 1.987267023563328294e-01
1.460696509019351330e+00 1.987859920066296637e-01
1.461779493030576749e+00 1.988452316996348890e-01
1.462863279983659837e+00 1.989044214356995577e-01
