k_over_h rate_closed_form
5.338381924591089067e-01 8.827897005328583235e-02
5.450512759213221869e-01 9.060309171653174731e-02
5.564998862576080452e-01 9.295259570119869530e-02
5.681889706271130436e-01 9.532599137944113010e-02
5.801235801023216787e-01 9.772172182239041716e-02
5.923088718517189877e-01 1.001381672527217187e-01
6.047501113683005913e-01 1.025736488459950690e-01
6.174526747448891850e-01 1.050264328653558038e-01
6.304220509972475739e-01 1.074947351111900096e-01
6.436638444359834565e-01 1.099767256644392927e-01
6.571837770882775764e-01 1.124705338995680148e-01
6.709876911704794056e-01 1.149742537406015924e-01
6.850815516126367299e-01 1.174859491313279825e-01
6.994714486360560368e-01 1.200036596886752960e-01
7.141636003849999303e-01 1.225254065064341202e-01
7.291643556136639948e-01 1.250491980750205456e-01
7.444801964295929553e-01 1.275730362817522334e-01
7.601177410947195234e-01 1.300949224552881145e-01
7.760837468852415100e-01 1.326128634173775744e-01
7.923851130115660002e-01 1.351248775049297413e-01
8.090288835995884664e-01 1.376290005256656235e-01
8.260222507345899023e-01 1.401232916111977700e-01
8.433725575690742549e-01 1.426058389323396625e-01
8.610873014958801974e-01 1.450747652427585577e-01
8.791741373879462529e-01 1.475282332186887702e-01
8.976408809061248162e-01 1.499644505643798198e-01
9.164955118764741560e-01 1.523816748551372890e-01
9.357461777384932233e-01 1.547782180923042705e-01
9.554011970657816377e-01 1.571524509471773356e-01
9.754690631606516282e-01 1.595028066737448902e-01
9.959584477242434675e-01 1.618277846731031033e-01
1.016878204603728131e+00 1.641259536955490261e-01
1.038237373618223547e+00 1.663959546694883107e-01
1.060045184465068679e+00 1.686365031495329625e-01
1.082311060708148309e+00 1.708463913793011324e-01
1.105044623849992469e+00 1.730244899676218751e-01
1.128255697489405796e+00 1.751697491798353268e-01
1.151954311566432798e+00 1.772811998488540985e-01
1.176150706696479586e+00 1.793579539133821898e-01
1.200855338595477662e+00 1.813992045933159325e-01
1.226078882597992248e+00 1.834042262147194957e-01
1.251832238270237818e+00 1.853723736989476567e-01
1.278126534119983226e+00 1.873030817324042863e-01
1.304973132405388148e+00 1.891958636351450951e-01
1.332383634044849607e+00 1.910503099478947919e-01
1.360369883629972687e+00 1.928660867582737970e-01
1.388943974543844995e+00 1.946429337879147792e-01
1.418118254186812033e+00 1.963806622627710663e-01
1.447905329312019651e+00 1.980791525893753624e-01
1.478318071473030626e+00 1.997383518599293306e-01
1.509369622585860826e+00 2.013582712090839222e-01
1.541073400607851251e+00 2.029389830449588594e-01
1.573443105335816883e+00 2.044806181765512210e-01
1.606492724325986998e+00 2.059833628590178323e-01
1.640236538938286470e+00 2.074474557775315975e-01
1.674689130507585277e+00 2.088731849895297532e-01
1.709865386644562335e+00 2.102608848441276934e-01
1.745780507668922565e+00 2.116109328963438341e-01
1.782450013177740544e+00 2.129237468326162230e-01
1.819889748751766012e+00 2.141997814228268626e-01
1.858115892802601143e+00 2.154395255128005449e-01
1.897144963563693221e+00 2.166434990698882512e-01
1.936993826228172288e+00 2.178122502930303905e-01
1.977679700236619098e+00 2.189463527973307400e-01
2.019220166717903719e+00 2.200464028819276718e-01
2.061633176086330010e+00 2.211130168887560643e-01
2.104937055798336232e+00 2.221468286585378538e-01
2.149150518272134214e+00 2.231484870892728734e-01
2.194292668973707006e+00 2.241186538013451024e-01
2.240383014672621353e+00 2.250580009124523440e-01
2.287441471871284993e+00 2.259672089245147730e-01
2.335488375411229001e+00 2.268469647238847975e-01
2.384544487260175760e+00 2.276979596954407381e-01
2.434631005483686383e+00 2.285208879502606538e-01
2.485769573405220978e+00 2.293164446660976574e-01
2.537982288958648081e+00 2.300853245391084601e-01
2.591291714237155652e+00 2.308282203449310011e-01
2.645720885242763831e+00 2.315458216066112462e-01
2.701293321840619654e+00 2.322388133665582721e-01
2.758033037922355213e+00 2.329078750594117952e-01
2.815964551782960346e+00 2.335536794822621331e-01
2.875112896715577460e+00 2.341768918587001092e-01
2.935503631828868532e+00 2.347781689927303794e-01
2.997162853091589696e+00 2.353581585086343408e-01
3.060117204609134056e+00 2.359174981727026887e-01
3.124393890136956564e+00 2.364568152927185307e-01
3.190020684835836118e+00 2.369767261910452893e-01
3.257025947274021949e+00 2.374778357471825918e-01
3.325438631681526758e+00 2.379607370057156002e-01
3.395288300461771769e+00 2.384260108456329741e-01
3.466605136966062428e+00 2.388742257069716157e-01
3.539419958536393018e+00 2.393059373710521298e-01
3.613764229822172158e+00 2.397216887904511373e-01
3.689670076376717400e+00 2.401220099651270867e-01
3.767170298539282314e+00 2.405074178611293911e-01
3.846298385608709403e+00 2.408784163686779056e-01
3.927088530314795101e+00 2.412354962961685834e-01
4.009575643593583649e+00 2.415791353972460420e-01
4.093795369673066453e+00 2.419097984278422431e-01
4.179784101475695124e+00 2.422279372305210232e-01
4.267578996344456144e+00 2.425339908434218372e-01
4.357217992099268855e+00 2.428283856313852018e-01
4.448739823430597262e+00 2.431115354368665049e-01
4.542184038637474330e+00 2.433838417484237848e-01
4.637591016717029113e+00 2.436456938848849396e-01
4.735001984813020925e+00 2.438974691930228811e-01
4.834459036030877677e+00 2.441395332571590360e-01
4.936005147626883804e+00 2.443722401189601656e-01
5.039684199579492763e+00 2.445959325058297551e-01
5.145540993550656417e+00 2.448109420665347258e-01
5.253621272245478480e+00 2.450175896127981534e-01
5.363971739178508891e+00 2.452161853654520884e-01
5.476640078855172789e+00 2.454070292042951906e-01
5.591674977377180333e+00 2.455904109204040953e-01
5.709126143480666826e+00 2.457666104701306253e-01
5.829044330016286857e+00 2.459358982298897323e-01
5.951481355880487101e+00 2.460985352509044988e-01
6.076490128407390223e+00 2.462547735132802618e-01
6.204124666231064289e+00 2.464048561788265701e-01
6.334440122628001824e+00 2.465490178419992018e-01
6.467492809349845828e+00 2.466874847783983860e-01
6.603340220956797957e+00 2.468204751905199723e-01
6.742041059662057911e+00 2.469481994503807121e-01
6.883655260698164469e+00 2.470708603384000890e-01
7.028244018216154743e+00 2.471886532786991830e-01
7.175869811728655456e+00 2.473017665699363543e-01
7.326596433108510276e+00 2.474103816122902311e-01
7.480489014154390937e+00 2.475146731294442792e-01
7.637614054735490932e+00 2.476148093862769184e-01
7.798039451527389865e+00 2.477109524015189690e-01
7.961834527351421720e+00 2.478032581556817993e-01
8.129070061130436287e+00 2.478918767938937950e-01
8.299818318473633383e+00 2.479769528238759957e-01
8.474153082903916001e+00 2.480586253086134729e-01
8.652149687741161443e+00 2.481370280542210260e-01
8.833885048655098160e+00 2.482122897926039018e-01
9.019437696902077306e+00 2.482845343590739939e-01
9.208887813259838850e+00 2.483538808650300744e-01
9.402317262675161658e+00 2.484204438654188385e-01
9.599809629639260322e+00 2.484843335217507276e-01
9.801450254306150356e+00 2.485456557595136506e-01
1.000732626936980729e+01 2.486045124215186253e-01
1.021752663771576053e+01 2.486610014160321180e-01
1.043214219086366512e+01 2.487152168604389313e-01
1.065126566821732190e+01 2.487672492203272523e-01
1.087499175713905153e+01 2.488171854440017761e-01
1.110341713386595686e+01 2.488651090927879728e-01
1.133664050528546241e+01 2.489111004667175220e-01
1.157476265158844342e+01 2.489552367266162636e-01
1.181788646981827640e+01 2.489975920111752727e-01
1.206611701833448613e+01 2.490382375511120405e-01
1.231956156221054144e+01 2.490772417785989123e-01
1.257832961958501095e+01 2.491146704332904138e-01
1.284253300898643957e+01 2.491505866643611289e-01
1.311228589765227781e+01 2.491850511295296278e-01
1.338770485086259932e+01 2.492181220899148397e-01
1.366890888231018231e+01 2.492498555021211704e-01
1.395601950552860870e+01 2.492803051064232944e-01
1.424916078640042905e+01 2.493095225124211944e-01
1.454845939676848410e+01 2.493375572806940665e-01
1.485404466917306543e+01 2.493644570030968677e-01
1.516604865273898817e+01 2.493902673777637913e-01
1.548460617023653185e+01 2.494150322838726286e-01
1.580985487634078090e+01 2.494387938515611469e-01
1.614193531711491758e+01 2.494615925307286375e-01
1.648099099074269347e+01 2.494834671563631590e-01
1.682716840953674264e+01 2.495044550116679583e-01
1.718061716324933030e+01 2.495245918892423642e-01
1.754148998371280044e+01 2.495439121492880052e-01
1.790994281083797190e+01 2.495624487762287402e-01
1.828613485999859378e+01 2.495802334326202021e-01
1.867022869083132619e+01 2.495972965113818220e-01
1.906239027748089399e+01 2.496136671859655043e-01
1.946278908032046218e+01 2.496293734585307011e-01
1.987159811917880958e+01 2.496444422063013591e-01
2.028899404810530882e+01 2.496588992263151230e-01
2.071515723170549350e+01 2.496727692780780217e-01
2.115027182308006459e+01 2.496860761247647886e-01
2.159452584340074566e+01 2.496988425731073713e-01
2.204811126315791725e+01 2.497110905113869017e-01
2.251122408511452733e+01 2.497228409454344822e-01
2.298406442900261837e+01 2.497341140349581823e-01
2.346683661799888654e+01 2.497449291262443249e-01
2.395974926701638097e+01 2.497553047850679109e-01
2.446301537285113525e+01 2.497652588282045227e-01
2.497685240622187308e+01 2.497748083526941387e-01
2.550148240574328895e+01 2.497839697655695745e-01
2.603713207387314199e+01 2.497927588108328489e-01
2.658403287487448452e+01 2.498011905956499246e-01
2.714242113483590302e+01 2.498092796169613383e-01
2.771253814379226199e+01 2.498170397857512326e-01
2.829463025999074688e+01 2.498244844493039407e-01
2.888894901634695245e+01 2.498316264162057376e-01
2.949575122913680403e+01 2.498384779748979434e-01
3.011529910897177942e+01 2.498450509181476820e-01
3.074786037410509820e+01 2.498513565603470710e-01
3.139370836611760751e+01 2.498574057577276908e-01
3.205312216803404368e+01 2.498632089266148992e-01
3.272638672491981993e+01 2.498687760606083108e-01
3.341379296701121149e+01 2.498741167505265093e-01
3.411563793543188439e+01 2.498792401958434273e-01
3.483222491054969083e+01 2.498841552243321051e-01
3.556386354303006669e+01 2.498888703059084782e-01
3.631086998764165941e+01 2.498933935663407158e-01
3.707356703987284163e+01 2.498977328024084010e-01
3.785228427541775886e+01 2.499018954940626924e-01
3.864735819259196603e+01 2.499058888187108141e-01
3.945913235773991801e+01 2.499097196600704451e-01
4.028795755369618092e+01 2.499133946258572936e-01
4.113419193136537189e+01 2.499169200532112556e-01
4.199820116448601226e+01 2.499203020226417327e-01
4.288035860764469476e+01 2.499235463675551494e-01
4.378104545760997723e+01 2.499266586840625526e-01
4.470065091805432189e+01 2.499296443426520797e-01
4.563957236773642734e+01 2.499325084942046749e-01
4.659821553221618018e+01 2.499352560819931290e-01
4.757699465917596626e+01 2.499378918441051978e-01
4.857633269742522231e+01 2.499404203331548890e-01
4.959666147966422045e+01 2.499428459098398392e-01
5.063842190908719942e+01 2.499451727617128527e-01
5.170206414990506261e+01 2.499474049057494873e-01
5.278804782186942646e+01 2.499495461935158092e-01
5.389684219888333416e+01 2.499516003232919448e-01
5.502892641178294042e+01 2.499535708395591305e-01
5.618478965537907754e+01 2.499554611455734876e-01
5.736493139984769130e+01 2.499572745047215772e-01
5.856986160655984719e+01 2.499590140483313183e-01
5.980010094844609370e+01 2.499606827800446296e-01
6.105618103498855476e+01 2.499622835805599963e-01
6.233864464193952415e+01 2.499638192156322103e-01
6.364804594586527742e+01 2.499652923361106172e-01
6.498495076361572842e+01 2.499667054861356708e-01
6.634993679682470713e+01 2.499680611077762515e-01
6.774359388154584849e+01 2.499693615398012603e-01
6.916652424313140557e+01 2.499706090328423502e-01
7.061934275646555648e+01 2.499718057355063416e-01
7.210267721166295019e+01 2.499729537211184682e-01
7.361716858534879293e+01 2.499740549669693390e-01
7.516347131763704681e+01 2.499751113791541246e-01
7.674225359492578491e+01 2.499761247810628750e-01
7.835419763863366427e+01 2.499770969253653496e-01
7.999999999999998579e+01 2.499780294896566668e-01
